,0
79,ALTERYX INC
80,ALTICE USA
81,ALTISOURCE PORTFOLIO
82,ALTRA INDUSTRIAL MOTION
83,ALTRIA GROUP INC
84,AMAG PHARMACEUTICALS INC
85,AMALGAMATED BANK
86,AMAZON COM INC
87,AMBAC FINL GROUP INC
88,AMBARELLA INC
89,AMC ENTERTAINMENT
90,AMC NETWORKS INC
91,AMCOR
92,AMDOCS LTD
93,AMEDISYS INC
94,AMER PUBLIC EDUCATION
95,AMERANT BANCORP INC (A)
96,AMERCO
97,ANNALY CAPITAL MGMT INC
98,ANSYS INC
99,ANTARES PHARMA INC
100,ANTERIX INC
101,ANTERO MIDSTREAM CORP
102,ANTERO RESOURCES CO
103,ANTHEM INC
104,ANWORTH MORTGAGE ASSET
105,AON PLC
106,APACHE CORP
107,APARTMENT INVT & MGMT
108,APELLIS PHARMACEUTICALS
109,API GROUP
110,APOGEE ENTERPRISES INC
111,APOLLO COMMERCIAL RE
112,APOLLO GLOBAL MANAGEMENT
113,APOLLO MEDICAL HOLDINGS
114,APPFOLIO INC
115,APPIAN
116,APPLE HOSPITALITY REIT
117,APPLE INC
118,APPLIED GENETIC TECH
119,APPLIED INDUSTRIAL TECH
120,APPLIED MATLS INC
121,APPLIED OPTOELECTRONICS
122,APPLIED THERAPEUTICS INC
123,APREA THERAPEUTICS
124,APTARGROUP INC
125,APTINYX INC
126,APTIV PLC
127,APYX MEDICAL INC
128,AQUESTIVE THERAPEUTICS
129,ARAMARK
130,ARAVIVE INC
131,ARBOR REALTY TRUST INC
132,ARCBEST CORPORATION
133,ARCH CAP GROUP LTD
134,ARCH RESOURCES INC
135,ARCHER DANIELS MIDLAND
136,ARCHROCK INC
137,ARCONIC CORPORATION
138,ARCOSA
139,ARCTURUS THERAPEUTICS
140,ARCUS BIOSCIENCES
141,ARCUTIS BIOTHERAPEUTICS
142,ARDAGH GROUP SA
143,ARDELYX INC
144,ARDMORE SHIPPING CORP
145,ARENA PHARMACEUTICALS
146,ATRICURE INC
147,ATRION CORP
148,AUBURN NATL BANCORP
149,AUTODESK INC
150,AUTOMATIC DATA PROCESS
151,AUTONATION INC
152,AUTOZONE INC
153,AVALARA INC
154,AVALON GLOBOCARE CORP
155,AVALONBAY CMNTYS INC
156,AVANGRID INC
157,AVANOS MEDICAL INC
158,AVANTOR INC
159,AVAYA HOLDINGS CORP
160,AVENUE THERAPEUTICS
161,AVEO PHARMACEUTICALS INC
162,AVERY DENNISON CORP
163,AVID BIOSERVICES INC
164,AVID TECHNOLOGY INC
165,AVIS BUDGET GROUP INC
166,AVISTA CORP
167,AVNET INC
168,AVROBIO INC
169,AXALTA COATING SYSTEMS
170,AXCELIS TECHNOLOGIES INC
171,AXCELLA HEALTH
172,AXIS CAPITAL HOLDINGS
173,AXOGEN INC
174,AXON ENTERPRISE INC
175,AXONICS MODULATION TECH
176,AXOS FINANCIAL INC
177,AXSOME THERAPEUTICS INC
178,AXT INC
179,AYTU BIOSCIENCE INC
180,AZZ INC
181,B & G FOODS INC
182,B. RILEY FINANCIAL INC
183,BADGER METER INC
184,BAKER HUGHES COMPANY
185,BALCHEM CORP
186,BALL CORP
187,BANC OF CALIFORNIA INC
188,BANCFIRST CORP
189,BANCO LATINOAMERICANO
190,BANCORP INC
191,BANCORPSOUTH BANK
192,BANDWIDTH CLASS A
193,BANK COMM HLDGS
194,BANK FIRST CORPORATION
195,BIODELIVERY SCIENCES
196,BIOGEN INC
197,BIOHAVEN PHARMACEUTICAL
198,BIOLIFE SOLUTIONS INC
199,BIOMARIN PHARMACEUTICAL
200,BIOSIG TECHNOLOGIES INC
201,BIOSPECIFICS TECHNO CORP
202,BIOTELEMETRY INC
203,BIOXCEL THERAPEUTICS
204,BJS RESTAURANTS INC
205,BJ'S WHOLESALE CLUB HDLG
206,BLACK DIAMOND THERAPEUTI
207,BLACK HILLS CORP
208,BLACK KNIGHT
209,BLACKBAUD INC
210,BLACKLINE INC
211,BLACKROCK INC
212,BLACKSTONE MORTGAGE TRST
213,BLOCK H & R INC
214,BLOOM ENERGY
215,BLOOMIN' BRANDS INC
216,BLUCORA INC
217,BLUE BIRD CORP
218,BLUEBIRD BIO INC
219,BLUEGREEN VACATIONS CORP
220,BLUEPRINT MEDICINES CORP
221,BLUEROCK RESIDENT REIT
222,BMC STOCK HOLDINGS INC
223,BOEING CO
224,BOGOTA FINANCIAL
225,BOINGO WIRELESS INC
226,BOISE CASCADE COMPANY
227,BOK FINANCIAL CORP
228,BONANZA CREEK ENER INC
229,BOOKING HOLDINGS INC
230,BOOT BARN HOLDINGS
231,BOOZ ALLEN HAMILTON HLDG
232,BORG WARNER INC
233,BOSTON BEER INC
234,BOSTON OMAHA
235,BOSTON PRIVATE FINANCIAL
236,BOSTON PROPERTIES INC
237,BOSTON SCIENTIFIC CO
238,BOTTOMLINE TECHNOLOGIES
239,BOX INC
240,BOYD GAMING CORP
241,BRADY CORP
242,BRAINSTORM CELL THERA
243,BRANDYWINE REALTY TRUST
244,CADIZ INC
245,CAESARS ENTMT CORP
246,CAESARSTONE LTD
247,CAI INTERNATIONAL INC
248,CAL MAINE FOODS INC
249,CALAMP CORP
250,CALAVO GROWERS INC
251,CALEDONIA MINING CORP
252,CALERES INC
253,CALIFORNIA BANCORP
254,CALIFORNIA RESOURCES
255,CALIFORNIA WTR SVC GRP
256,CALITHERA BIOSCIENCES
257,CALIX INC
258,CALLAWAY GOLF CO
259,CALYXT
260,CAMBIUM NETWORKS CORP
261,CAMBRIDGE BANCORP
262,CAMDEN NATIONAL CORP
263,CAMDEN PROPERTY TRUST
264,CAMPBELL SOUP CO
265,CAMPING WORLD HOLDINGS
266,CANNAE HOLDINGS INC
267,CANTEL MEDICAL CORP
268,CAPITAL BANCORP INC
269,CAPITAL CITY BANK GROUP
270,CAPITAL ONE FINANCIAL
271,CAPITOL FEDERAL FINL INC
272,CAPRI HOLDINGS LIMITED
273,CAPSTAR FINANCIAL HLDG
274,CAPSTEAD MORTGAGE CORP
275,CARA THERAPEUTICS INC
276,CARDINAL HEALTH INC
277,CARDIOVASCULAR SYS INC
278,CARDLYTICS INC
279,CARDTRONICS PLC
280,CAREDX INC
281,CARETRUST REIT INC
282,CARGURUS INC
283,CARLISLE COS INC
284,CARLYLE GROUP INC
285,CARMAX INC
286,CARNIVAL CORP
287,CARPENTER TECHNOLOGY
288,CARRIAGE SERVICES INC
289,CARRIER GLOBAL
290,CARROLS RESTAURANT GRP
291,CARS.COM
292,CARTER BANK & TRUST
293,CERUS CORP
294,CEVA INC
295,CF INDUSTRIES HOLDINGS
296,CHAMPIONS ONCOLOGY INC
297,CHAMPIONX CORPORATION
298,CHANGE HEALTHCARE INC
299,CHANNELADVISOR CORP
300,CHARLES RIVER LABS INTL
301,CHART INDUSTRIES INC
302,CHARTER COMM INC
303,CHASE CORP
304,CHATHAM LODGING TR
305,CHECKPOINT THERAPEUTICS
306,CHEESECAKE FACTORY INC
307,CHEFS' WHAREHOUSE INC
308,CHEGG INC
309,CHEMBIO DIAGNOSTICS INC
310,CHEMED CORPORATION
311,CHEMOCENTRYX INC
312,CHEMUNG FINL CORP
313,CHENIERE ENERGY INC
314,CHERRY HILL MORTGAGE INV
315,CHESAPEAKE ENERGY CORP
316,CHESAPEAKE UTILITIES
317,CHEVRON CORP
318,CHIASMA INC
319,CHICOS FAS INC
320,CHILDRENS PLACE INC
321,CHIMERA INVESTMENT CORP
322,CHIMERIX INC
323,CHIPOTLE MEXICAN GRILL
324,CHOICE HOTELS INTL INC
325,CHOICEONE FINANCIAL SERV
326,CHROMADEX CORP
327,CHUBB LIMITED
328,CHURCH & DWIGHT INC
329,CHURCHILL DOWNS INC
330,CHUY'S HOLDINGS INC
331,CIDARA THERAPEUTICS INC
332,CIENA CORP
333,CIGNA CORP
334,CIM COMMERCIAL TRUST
335,CIMAREX ENERGY CO
336,CIMPRESS PLC
337,CINCINNATI BELL INC
338,CINCINNATI FINANCIAL
339,CINEMARK HOLDINGS INC
340,CINTAS CORP
341,CIRCOR INTERNATIONAL INC
342,COLLECTORS UNIVERSE INC
343,COLLEGIUM PHARMACEUTICAL
344,COLONY BANKCORP INC
345,COLONY CAPITAL INC
346,COLONY CR RE INC (A)
347,COLUMBIA BKG SYSTEM INC
348,COLUMBIA FINANCIAL INC
349,COLUMBIA PPTY TR INC
350,COLUMBIA SPORTSWEAR CO
351,COLUMBUS MCKINNON CORP
352,COMCAST CORP CL A
353,COMERICA INC
354,COMFORT SYSTEMS USA INC
355,COMMERCE BANCSHARES INC
356,COMMERCIAL METALS CO
357,COMMSCOPE HOLDING CO
358,COMMUNITY BANK SYSTEMS
359,COMMUNITY BANKERS TRUST
360,COMMUNITY FINL CORP MD
361,COMMUNITY HEALTH SYSTEMS
362,COMMUNITY HEALTHCARE TR
363,COMMUNITY TRUST BANCORP
364,COMMVAULT SYSTEMS INC
365,COMPASS MINERALS INTL
366,COMPUTER PROGRAMS & SYS
367,COMPX INTERNATIONAL INC
368,COMSCORE INC
369,COMSTOCK RESOURCES INC
370,COMTECH TELECOMM
371,CONAGRA BRANDS INC
372,CONCERT PHARMACEUTICALS
373,CONCHO RESOURCES INC
374,CONCRETE PUMPING
375,CONDUENT INC
376,CONMED CORP
377,CONNECTONE BANCORP INC
378,CONNS INC
379,CONOCOPHILLIPS
380,CONSOL ENERGY INC
381,CONSOLIDATED COMM
382,CONSOLIDATED EDISON INC
383,CONSOLIDATED WATER CO
384,CONSTELLATION BRANDS
385,CONSTELLATION PHARMA
386,CONSTRUCTION PARTNERS
387,CONTANGO OIL & GAS CO
388,CONTINENTAL RESOURCES
389,CONTRAFECT CORP
390,COOPER COMPANIES INC
391,CSX CORP
392,CTO REALTY GROWTH INC
393,CTS CORP
394,CUBESMART
395,CUBIC CORP
396,CUE BIOPHARMA INC
397,CULLEN FROST BANKERS
398,CUMMINS INC
399,CURO GROUP HOLDINGS CORP
400,CURTISS WRIGHT CORP
401,CUSHMAN & WAKEFIELD PLC
402,CUSTOMERS BANCORP INC
403,CUTERA INC
404,CVB FINANCIAL CORP
405,CVR ENERGY INC
406,CVS HEALTH CORPORATION
407,CYBEROPTICS CORP
408,CYCLERION THERAPEUTICS
409,CYMABAY THERAPEUTICS INC
410,CYRUSONE INC
411,CYTOKINETICS INC
412,CYTOMX THERAPEUTICS INC
413,CYTOSORBENTS CORP
414,D R HORTON INC
415,DAILY JOURNAL CORP
416,DAKTRONICS INC
417,DANA INCORPORATED
418,DANAHER CORP
419,DARDEN RESTAURANTS INC
420,DARLING INGREDIENTS INC
421,DASAN ZHONE SOLUTIONS
422,DASEKE INC
423,DATADOG
424,DAVE & BUSTERS ENTMT INC
425,DAVITA INC
426,DECIPHERA PHARMACEUTICAL
427,DECKERS OUTDOOR CORP
428,DEERE & CO
429,DEL TACO RESTAURANTS INC
430,DELEK US HLDGS INC
431,DELL TECHNOLOGIES
432,DELMAR BANCORP
433,DELTA AIR LINES INC
434,DELUXE CORP
435,DENALI THERAPEUTICS INC
436,DENNYS CORP
437,DENTSPLY SIRONA INC
438,DERMTECH INC
439,DESIGNER BRANDS INC
440,DUKE REALTY CORP
441,DULUTH HOLDINGS INC
442,DUNKIN BRANDS GROUP INC
443,DUPONT DE NEMOURS INC
444,DURECT CORP
445,DXC TECHNOLOGY COMPANY
446,DXP ENTERPRISES INC
447,DYADIC INTERNATIONAL
448,DYCOM INDUSTRIES INC
449,DYNATRACE INC
450,DYNAVAX TECHNOLOGIES
451,DYNEX CAPITAL INC
452,E TRADE FINANCIAL CORP
453,EAGLE BANCORP INC
454,EAGLE BANCORP MONT INC
455,EAGLE BULK SHIPPING INC
456,EAGLE MATERIALS INC
457,EAGLE PHARMACEUTICALS
458,EARTHSTONE ENERGY INC
459,EAST WEST BANCORP INC
460,EASTERLY GOVERNMENT PPTY
461,EASTERN CO
462,EASTGROUP PROPERTIES INC
463,EASTMAN CHEMICAL CO
464,EASTMAN KODAK CO
465,EATON CORP PLC
466,EATON VANCE CORP
467,EBAY INC
468,EBIX INC
469,ECHO GLOBAL LOGISTICS
470,ECHOSTAR CORP
471,ECOLAB INC
472,EDGEWELL PERSONAL CARE
473,EDISON INTERNATIONAL
474,EDITAS MEDICINE INC
475,EDWARDS LIFESCIENCES
476,EGAIN CORPORATION
477,EHEALTH INC
478,EIDOS THERAPEUTICS
479,EIGER BIOPHARMACEUTICALS
480,EL PASO ELECTRIC CO
481,EL POLLO LOCO HLDGS INC
482,ELANCO ANIMAL HEALTH
483,ELASTIC N.V.
484,ELDORADO RESORTS INC
485,ELECTROMED INC
486,ELECTRONIC ARTS INC
487,ELEMENT SOLUTIONS INC.
488,ELF BEAUTY INC
489,EQUITY LIFESTYLE PROP
490,EQUITY RESIDENTIAL
491,ERIE INDEMNITY CO
492,EROS INTL PLC
493,ESCALADE INC
494,ESCO TECHNOLOGIES INC
495,ESPERION THERAPEUTICS
496,ESQUIRE FINANCIAL HLDGS
497,ESSA BANCORP INC
498,ESSENT GROUP LTD
499,ESSENTIAL PROPERTIES
500,ESSENTIAL UTILITIES INC
501,ESSEX PROPERTY TRUST INC
502,ESTEE LAUDER COMPANIES
503,ETHAN ALLEN INTERIORS
504,ETON PHARMACEUTICALS
505,ETSY INC
506,EURONET WORLDWIDE INC
507,EVANS BANCORP INC
508,EVELO BIOSCIENCES
509,EVENTBRITE
510,EVERBRIDGE INC
511,EVERCORE INC
512,EVEREST RE GROUP LTD
513,EVERGY INC
514,EVERI HOLDINGS INC
515,EVERQUOTE
516,EVERSOURCE ENERGY
517,EVERTEC INC
518,EVI INDUSTRIES
519,EVO PAYMENTS INC
520,EVOFEM BIOSCIENCES INC
521,EVOLENT HEALTH INC
522,EVOLUS INC
523,EVOLUTION PETROLEUM CORP
524,EVOQUA WATER TECH
525,EXACT SCIENCES CORP
526,EXAGEN
527,EXELIXIS INC
528,EXELON CORP
529,EXICURE
530,EXLSERVICE HOLDINGS INC
531,EXONE COMPANY
532,EXP WORLD HOLDINGS
533,EXPEDIA GROUP INC
534,EXPEDITORS INTL OF WASH
535,EXPONENT INC
536,EXPRESS INC
537,EXTENDED STAY AMERICA
538,FIRST COMMONWLTH FINL
539,FIRST FINANCIAL BANCORP
540,FIRST FINANCIAL CORP
541,FIRST FINL BANKSHARES
542,FIRST FNDTN INC
543,FIRST GUARANTY BANCSHARE
544,FIRST HAWAIIAN INC
545,FIRST HORIZON NATL CORP
546,FIRST INDUSTRIAL RLTY TR
547,FIRST INTERNET BANCORP
548,FIRST INTST BANCSYSTEM
549,FIRST LONG ISLAND CORP
550,FIRST MERCHANTS CORP
551,FIRST MID BANCSHARES INC
552,FIRST MIDWEST BANCORP
553,FIRST NORTHWEST BANCORP
554,FIRST REP BK SAN FRAN
555,FIRST SAVINGS FINANCIAL
556,FIRST SOLAR INC
557,FIRST UNITED CORP
558,FIRST WESTERN FINANCIAL
559,FIRSTCASH INC
560,FIRSTENERGY CORP
561,FISERV INC
562,FITBIT INC
563,FIVE BELOW
564,FIVE PRIME THERAPEUTICS
565,FIVE STAR SENIOR LIVING
566,FIVE9 INC
567,FLAGSTAR BANCORP INC
568,FLEETCOR TECHNOLOGIES
569,FLEXION THERAPEUTICS INC
570,FLIR SYSTEMS INC
571,FLOOR & DECOR HOLDINGS
572,FLOWERS FOODS INC
573,FLOWSERVE CORP
574,FLUENT INC
575,FLUIDIGM CORP
576,FLUOR CORP
577,FLUSHING FINANCIAL CORP
578,FMC CORP
579,FNB CORP
580,FNCB BANCORP INC
581,FNF GROUP
582,FOCUS FINANCIAL PARTNERS
583,FONAR CORP
584,FOOT LOCKER INC
585,FORD MOTOR CO
586,FORESCOUT TECHNOLOGIES
587,GAMESTOP CORP
588,GAMING AND LEISURE PPTYS
589,GAN
590,GANNET CO INC
591,GAP INC
592,GARMIN LTD
593,GARTNER INC
594,GATES INDUSTRIAL CORP
595,GATX CORP
596,GCI LIBERTY INC
597,GCP APPLIED TECHNOLOGIES
598,GENASYS INC
599,GENCO SHIPPING & TRADING
600,GENCOR INDUSTRIES INC
601,GENERAC HOLDINGS INC
602,GENERAL DYNAMICS CORP
603,GENERAL ELECTRIC CO
604,GENERAL FINANCE CORP
605,GENERAL MILLS INC
606,GENERAL MTRS CO
607,GENESCO INC
608,GENIE ENERGY LTD
609,GENMARK DIAGNOSTICS INC
610,GENPACT LTD
611,GENPREX INC
612,GENTEX CORP
613,GENTHERM INC
614,GENUINE PARTS CO
615,GENWORTH FINANCIAL INC
616,GEO GROUP INC
617,GERMAN AMERICAN BANCORP
618,GERON CORP
619,GETTY REALTY CORP
620,GIBRALTAR INDUSTRIES INC
621,GILEAD SCIENCES INC
622,GLACIER BANCORP INC
623,GLADSTONE COMMERCIAL
624,GLADSTONE LAND INC
625,GLATFELTER
626,GLAUKOS CORPORATION
627,GLOBAL BLOOD THERA
628,GLOBAL INDEMNITY LTD
629,GLOBAL MEDICAL REIT INC
630,GLOBAL NET LEASE INC
631,GLOBAL PAYMENTS INC
632,GLOBAL WATER RESOURCES
633,GLOBALSCAPE INC
634,GLOBANT SA
635,GLOBE LIFE INC
636,GROUPON INC
637,GROWGENERATION
638,GRUBHUB INC
639,GSI TECHNOLOGY
640,GTT COMMUNICATIONS INC
641,GTY TECHNOLOGY HOLDINGS
642,GUARANTY BANCSHARES INC
643,GUARDANT HEALTH
644,GUESS INC
645,GUIDEWIRE SOFTWARE INC
646,GULFPORT ENERGY CORP
647,GWG HLDGS INC
648,H&E EQUIPMENT SERVICES
649,HACKETT GROUP INC
650,HAEMONETICS CORP
651,HAIN CELESTIAL GROUP
652,HALLIBURTON CO
653,HALOZYME THERAPEUTICS
654,HAMILTON BEACH BRANDS
655,HAMILTON LANE INC
656,HANCOCK WHITNEY CORP
657,HANESBRAND INC
658,HANGER INC
659,HANMI FINANCIAL CORP
660,HANNON ARMSTRONG SUSTAIN
661,HANOVER INSURANCE GROUP
662,HARBORONE BANCORP INC
663,HARLEY DAVIDSON INC
664,HARMONIC INC
665,HARPOON THERAPEUTICS
666,HARROW HEALTH INC.
667,HARSCO CORP
668,HARTFORD FINL SVCS GRP
669,HARVARD BIOSCIENCE INC
670,HASBRO INC
671,HAVERTY FURNITURE INC
672,HAWAIIAN ELECTRIC INDS
673,HAWAIIAN HOLDINGS INC
674,HAWKINS INC
675,HAWTHORN BANCSHARES INC
676,HAYNES INTERNATIONAL INC
677,HB FULLER COMPANY
678,HBT FINANCIAL
679,HC2 HLDGS INC
680,HCA HEALTHCARE INC
681,HCI GROUP INC
682,HD SUPPLY HOLDINGS INC
683,HEALTH CATALYST INC
684,HEALTHCARE REALTY TRUST
685,HOMETRUST BANCSHARES INC
686,HOMOLOGY MEDICINES
687,HONEYWELL INTERNATIONAL
688,HOOKER FURNITURE CORP
689,HOOKIPA PHARMA
690,HOPE BANCORP INC
691,HORACE MANN EDUCATORS
692,HORIZON BANCORP INC
693,HORIZON THERAPEUTICS PLC
694,HORMEL FOODS CORP
695,HOST HOTELS & RESORTS
696,HOSTESS BRANDS INC
697,HOUGHTON MIFFLIN HARCOUR
698,HOULIHAN LOKEY INC
699,HOWARD BANCORP INC
700,HOWARD HUGHES CORP
701,HOWMET AEROSPACE INC
702,HP INC
703,HUB GROUP INC
704,HUBBELL INC
705,HUBSPOT INC
706,HUDSON LTD
707,HUDSON PAC PPTYS INC
708,HUMANA INC
709,HUNTINGTON BANCSHARES
710,HUNTINGTON INGALLS IND
711,HUNTSMAN CORP
712,HURCO COMPANIES INC
713,HURON CONSULTING GROUP
714,HYATT HOTELS CORP
715,HYSTER-YALE MATERIALS
716,I3 VERTICALS INC
717,IAA
718,IAC INTERACTIVECORP
719,IBERIABANK CORP
720,IBIO
721,ICAD INC
722,ICF INTERNATIONAL INC
723,ICHOR HOLDINGS INC
724,ICU MEDICAL INC
725,IDACORP INC
726,IDEAYA BIOSCIENCES INC
727,IDEX CORP
728,IDEXX LABS INC
729,IDT CORP
730,IES HOLDINGS INC
731,IGM BIOSCIENCES
732,IHEARTMEDIA
733,IHS MARKIT LTD
734,INTERCONTINENTAL EXCH
735,INTERDIGITAL INC
736,INTERFACE INC
737,INTERNATIONAL BANCSHARES
738,INTERNATIONAL GAME TECH
739,INTERNATIONAL MONEY EXP
740,INTERNATIONAL PAPER CO
741,INTERNATIONAL SEAWAYS
742,INTERPUBLIC GROUP OF COS
743,INTERSECT ENT INC
744,INTEVAC INC
745,INTL BUSINESS MACHINES
746,INTL FCSTONE INC
747,INTL FLAVORS & FRAGRANCE
748,INTRA CELLULAR THERAPIES
749,INTREPID POTASH INC
750,INTRICON CORP
751,INTUIT
752,INTUITIVE SURGICAL INC
753,INVACARE CORP
754,INVESCO LTD
755,INVESCO MORTGAGE CAP
756,INVESTAR HOLDING CORP
757,INVESTORS BANCORP INC
758,INVESTORS REAL ESTATE TR
759,INVESTORS TITLE CO
760,INVITAE CORPORATION
761,INVITATION HOMES INC
762,IONIS PHARMACEUTICALS
763,IOVANCE BIOTHERAPEUTICS
764,IPG PHOTONICS CORP
765,IQVIA HOLDINGS INC
766,IRADIMED CORPORATION
767,IRHYTHM TECHNOLOGIES INC
768,IRIDIUM COMMUNICATIONS
769,IROBOT CORP
770,IRON MOUNTAIN INC
771,IRONWOOD PHARMACEUTICALS
772,ISTAR INC
773,ITERIS INC
774,ITRON INC
775,ITT INC
776,IVERIC BIO
777,J & J SNACK FOODS CO
778,J2 GLOBAL INC
779,JABIL INC
780,JACK IN THE BOX INC
781,JACOBS ENGINEERING GRP
782,JAMES RIVER GROUP HLDG
783,KINSALE CAPITAL GROUP
784,KIRBY CORP
785,KITE REALTY GROUP TRUST
786,KKR & CO INC
787,KKR REAL ESTATE FINANCE
788,KLA CORPORATION
789,KNIGHT-SWIFT TRANSPORT
790,KNOLL INC
791,KNOWLES CORPORATION
792,KODIAK SCIENCES
793,KOHLS CORP
794,KONTOOR BRANDS
795,KOPPERS HOLDINGS INC
796,KORN FERRY
797,KOSMOS ENERGY LTD
798,KRATON CORPORATION
799,KRATOS DEFENSE & SEC SOL
800,KROGER CO
801,KRONOS WORLDWIDE INC
802,KRYSTAL BIOTECH
803,KURA ONCOLOGY INC
804,KURA SUSHI USA INC
805,KVH INDUSTRIES INC
806,L BRANDS INC
807,L3HARRIS TECHNOLOGIES
808,LA JOLLA PHARMACEUTICAL
809,LA Z BOY INC
810,LABORATORY CORP OF AMER
811,LADDER CAPITAL CORP
812,LAKELAND BANCORP INC
813,LAKELAND FINANCIAL CORP
814,LAKELAND INDUSTRIES INC
815,LAM RESEARCH CORP
816,LAMAR ADVERTISING CO
817,LAMB WESTON HOLDINGS
818,LANCASTER COLONY CORP
819,LANDEC CORP
820,LANDMARK BANCORP INC
821,LANDS END INC
822,LANDSTAR SYSTEMS INC
823,LANNETT CO INC
824,LANTHEUS HOLDINGS INC
825,LAS VEGAS SANDS CORP
826,LATTICE SEMICONDUCTOR
827,LAUREATE EDUCATION INC
828,LAWSON PRODUCTS INC
829,LAZARD LTD
830,LCI INDUSTRIES
831,LCNB CORP
832,LIVE OAK BANCSHARES INC
833,LIVENT
834,LIVEPERSON INC
835,LIVERAMP HOLDINGS INC
836,LIVEXLIVE MEDIA
837,LIVONGO HEALTH INC
838,LKQ CORP
839,LOCKHEED MARTIN CORP
840,LOEWS CORP
841,LOGICBIO THERAPEUTICS
842,LOGMEIN INC
843,LORAL SPACE & COMM
844,LOUISIANA PACIFIC CORP
845,LOVESAC CO
846,LOWES COS INC
847,LPL FINANCIAL HOLDINGS
848,LSI INDUSTRIES INC
849,LTC PROPERTIES INC
850,LULULEMON ATHLETICA INC
851,LUMBER LIQUIDATORS HLDGS
852,LUMENTUM HOLDINGS INC
853,LUMINEX CORP
854,LUNA INNOVATIONS INC
855,LUTHER BURBANK CORP
856,LUXFER HOLDINGS
857,LYDALL INC
858,LYFT
859,LYONDELLBASELL INDS
860,LYRA THERAPEUTICS
861,M & T BANK CORP
862,M/I HOMES INC
863,MACATAWA BANK CORP
864,MACERICH CO
865,MACK CALI REALTY CORP
866,MACKINAC FINL CORP
867,MACOM TECH SOLUTIONS
868,MACQUARIE INFRASTRUCTURE
869,MACROGENICS INC
870,MACYS INC
871,MADDEN STEVEN LTD
872,MADI SQ GARD SPORTS
873,MADISON SQUARE GARDEN EN
874,MADRIGAL PHARMACEUTICALS
875,MAGELLAN HEALTH INC
876,MAGENTA THERAPEUTICS INC
877,MAGNOLIA OIL & GAS (A)
878,MAINSTREET BANCSHARES
879,MAJESCO
880,MALIBU BOATS INC
881,MDC HOLDINGS INC
882,MDU RESOURCES GROUP INC
883,MEDALLIA INC
884,MEDICAL PROPERTIES TRUST
885,MEDICINOVA INC
886,MEDIFAST INC
887,MEDNAX INC
888,MEDPACE HOLDINGS INC
889,MEDTRONIC PLC
890,MEI PHARMA INC
891,MEIRAGTX HOLDINGS PLC
892,MENLO THERAPEUTICS INC
893,MERCANTILE BANK CORP
894,MERCHANTS BANCORP
895,MERCK & CO INC
896,MERCURY GENERAL CORP
897,MERCURY SYSTEMS INC
898,MEREDITH CORP
899,MERIDIAN BANCORP INC
900,MERIDIAN BIOSCIENCE INC
901,MERIDIAN CORPORATION
902,MERIT MED SYSTEMS INC
903,MERITAGE HOMES CORP
904,MERITOR INC
905,MERSANA THERAPEUTICS
906,MESA AIR GROUP INC
